rua,bairro,numero,cep,cidade,estado,pais
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Lodônio R de Bulhões,Alto Boa Vista,1075,58200-000,Guarabira,PB,Brasil
4GWC+CX - Guarabira,Nao possui Bairro,Sem Numero,58200-000,CX,Guarabira,Brasil
R. Euclídes Gilau,Bela Vista,85,58200-000,Guarabira,PB,Brasil
R. Rosil Guedes,Nordeste,364,58200-000,Guarabira,PB,Brasil
R. Manoel de Oliveira,Esplanada,273,58200-000,Guarabira,PB,Brasil
R. José Henrique de Bulhões,Primavera,228,58200-000,Guarabira,PB,Brasil
R. Delfino Cosme,Nordeste I,296,58200-000,Guarabira,PB,Brasil
4JW2+VJ Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Lodônio R de Bulhões,Alto Boa Vista,1081,58200-000,Guarabira,PB,Brasil
R. Tranquilino Xavier,Nordeste II,830,58200-000,Guarabira,PB,Brasil
R. Tranquilo Xavier,Guarabira,268,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Rua Dr. Antônio Guedes,Cachoeira,1490,58200-000,Guarabira,PB,Brasil
R. Severino Paiva Resende,Nordeste,133,58200-000,Guarabira,PB,Brasil
R. Lodônio R de Bulhões,Primavera,830,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,564,58200-000,Guarabira,PB,Brasil
R. Eliezer Henrique de Bulhões,Primavera,240,58200-000,Guarabira,PB,Brasil
PB-057,Guarabira,299,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Joca Carteiro,João Cassimiro,131,58200-000,Guarabira,PB,Brasil
R. Zacarias G. dos Santos,Centro,256,58200-000,Guarabira,PB,Brasil
Av. Nossa Sra. Da Luz,Cj Clovis Bezerra,5,58200-000,Guarabira,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
4H8H+2C Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
Av. Des. Pedro Bandeira,Rosário,476,58200-000,Guarabira,PB,Brasil
R. Alexandre dos Santos Oliveira,Cuitegi,37,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Manoel Paulo Da Silva,Cuitegi,305,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Ver. Sebastião Galdino,Cuitegi,57,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
4JX2+FF Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Rua José Américo,Nordeste,13,58200-000,Guarabira,PB,Brasil
R. Francisca T. Alves,São José,46,58200-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
Unnamed Road,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Maj. João Leite,Nao possui Bairro, 197,58270-000,Araçagi,PB,Brasil
4H8H+29 Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
R. Henrique Pacífico,Primavera,44,58200-000,Guarabira,PB,Brasil
R. Luís Galvão,Bairro Novo,715,58200-000,Guarabira,PB,Brasil
Av. Sabiniano Maia,Bairro Novo,811,58200-000,Guarabira,PB,Brasil
R. Antônio de Freitas Albuquerque,Santa Terezinha,84,58200-000,Guarabira,PB,Brasil
R. Projetada,São José,10,58200-000,Guarabira,PB,Brasil
R. Luiz Porpino da Silva,Conj. Osmar de Aquino,1029,58200-000,Guarabira,PB,Brasil
R. Joel Pinheiro da Silva,Cj Joao Cassimiro,57,58200-000,Guarabira,PB,Brasil
5G2C+G4 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
PB-057,Guarabira,299,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Iracema da Silva Sátiro,Dona Adalia,171,58200-000,Guarabira,PB,Brasil
R. Afrânio Peixoto,Conj. Chateaubriand,55,58200-000,Guarabira,PB,Brasil
R. Profa. Maria Ceci,Centro,11,58200-000,Guarabira,PB,Brasil
R. Floriano Peixoto,Centro,128,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
KM 3 - PB-057 - Guarabira,PB-057 - Guarabira,3,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
PB-073,Itamatay,58,58200-000,Guarabira,PB,Brasil
KM 3 - PB-057 - Guarabira,PB-057 - Guarabira,3,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
Rod. PB 057,Guarabira, 057,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Rosil Guedes,Nordeste,182,58200-000,Guarabira,PB,Brasil
4PW3+QW Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP,QW Itapororoca,PB,Brasil
R. Carmélia Guedes,Nordeste II,176,58200-000,Guarabira,PB,Brasil
4PW4+V4 Itapororoca - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Itapororoca,PB,Brasil
5J9X+H8 Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Araçagi,PB,Brasil
4GRG+Q5 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
Fazenda Nossa Sra. De Aparecida,Juá,320,58200-000,Guarabira,PB,Brasil
R. Joca Ataíde,Bairro Novo,104,58200-000,Guarabira,PB,Brasil
R. Napoleão Laureano,Centro,1348,58200-000,Guarabira,PB,Brasil
Av. João Monteiro,Nao possui Bairro,Sem Numero,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
4GG2+89 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Prof. Mariana Marques Leite,Alto Boa Vista,175,58200-000,Guarabira,PB,Brasil
R. José de Oliveira Madruga,São José,194,58200-000,Guarabira,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
4G7J+3C Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
R. Durval de Almeida,Assis Chateaubriand,3550,58200-000,Guarabira,PB,Brasil
R. Manoel Carlos da Silva,Conj. Osmar de Aquino,699,58200-000,Guarabira,PB,Brasil
R. Dr. Orlando Jorge de Souza,Nao possui Bairro, 164,58270-000,Araçagi,PB,Brasil
R. Manoel Ramiro,Rosário,50,58200-000,Guarabira,PB,Brasil
R. Hildebrando Matias,Nordeste,57,58200-000,Guarabira,PB,Brasil
4GWC+CX - Guarabira,Nao possui Bairro,Sem Numero,58200-000,CX,Guarabira,Brasil
4H8H+2C Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
Rua José Américo,Nordeste,04,58200-000,Guarabira,PB,Brasil
R. Pedro Batista,Nao possui Bairro, 131,58270-000,Araçagi,PB,Brasil
3FV7+8P,Nao possui Bairro,Sem Numero,58208-000,Cuitegi,PB,Brasil
R. Severino Mendes,Nao possui Bairro, 543,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Antônio Camelo de Melo,Piloezinhos,99,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Manoel Carlos da Silva,Conj. Osmar de Aquino,887,58200-000,Guarabira,PB,Brasil
R. João Lordão,Nordeste,168,58200-000,Guarabira,PB,Brasil
R. Severino Paiva Resende,Nordeste,326,58200-000,Guarabira,PB,Brasil
5M67+J9 Araçagi - PB,Nao possui Bairro,Sem Numero,Nao possui CEP, Araçagi,PB,Brasil
R. Antônio Camelo de Melo,Nao possui Bairro, 63,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Projetada,Piloezinhos,47,58210-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Manoel Francisco do Nascimento,Nordeste,19,58200-000,Guarabira,PB,Brasil
4GPW+68 Guarabira,Nao possui Bairro,Sem Numero,Nao possui CEP,Nao possui Cidade,Nao possui Estado,Brasil
4H7H+WR Cachoeira,Nao possui Bairro,Sem Numero,Nao possui CEP,Guarabira,PB,Brasil
KM 3 - PB-057 - Guarabira,PB-057 - Guarabira,3,58200-000,Nao possui Cidade,Nao possui Estado,Brasil
R. Projetada,Cordeiro,30,58200-000,Guarabira,PB,Brasil
R. Rubéns Coelho Pereira Filho,Alto Boa Vista,206,58200-000,Guarabira,PB,Brasil
Rod - PB-057 - Guarabira,Guarabira,057,58200-000,Rod,PB,Brasil
4GWC+CX - Guarabira,Nao possui Bairro,Sem Numero,58200-000,CX,Guarabira,Brasil
R. José Joaquim de Melo,Cuitegi,155,58208-000,Nao possui Cidade,Nao possui Estado,Brasil
